Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,Price
Renault,Triber,1900,124,88500,Automatic,second,Hybrid/CNG,440000
Maruti Suzuki,Swift,1920,104,99000,Manual,first,Petrol,519000
Maruti Suzuki,Wagon-R,1931,93,87000,Manual,first,Hybrid/CNG,349000
Mahindra,Jeep,1978,46,89000,Manual,second,Diesel,200000
Maruti Suzuki,800,1986,38,65000,Manual,second,Petrol,120000
Mahindra,Jeep,1990,34,26000,Manual,second,Diesel,250000
Mahindra,Jeep,1994,30,66810,Manual,second,Diesel,295000
Maruti Suzuki,800,1994,30,60000,Automatic,second,Petrol,35000
Tata,Sumo,1996,28,62302,Manual,second,Diesel,150000
Mahindra,Jeep,1996,28,37000,Manual,second,Diesel,299000
Mahindra,Jeep,1997,27,69000,Manual,second,Diesel,190000
Maruti Suzuki,800,1997,27,21000,Manual,first,Petrol,60000
Maruti Suzuki,Zen-Estilo,1998,26,65000,Manual,second,Petrol,27000
Maruti Suzuki,800,1998,26,59779,Manual,second,Petrol,41000
Maruti Suzuki,Omni,1998,26,32334,Manual,second,Petrol,75000
Hyundai,Santro,1999,25,140000,Manual,second,Hybrid/CNG,74999
Mahindra,Jeep,1999,25,72000,Manual,second,Diesel,80000
Toyota,Land Cruiser,1999,25,68000,Automatic,first,Petrol,2100000
Hyundai,Alcazar,1999,25,42000,Manual,first,Petrol,1595000
Mitsubishi,Lancer,1999,25,37000,Manual,second,Diesel,90000
Maruti Suzuki,800,2000,24,142500,Manual,second,Petrol,93000
Maruti Suzuki,Zen-Estilo,2000,24,118000,Manual,second,Petrol,70000
Maruti Suzuki,Fronx ,2000,24,75000,Automatic,first,Hybrid/CNG,47000
Hyundai,Accent,2000,24,47000,Manual,second,Petrol,74000
Mahindra,Marshal,2000,24,25524,Manual,second,Diesel,15000
Maruti Suzuki,800,2000,24,25000,Manual,second,Petrol,90000
Toyota,Qualis,2001,23,850000,Manual,second,Diesel,210000
Mercedes-Benz,S-Class,2001,23,108000,Automatic,second,Petrol,399000
Hyundai,Accent,2001,23,93000,Manual,second,Petrol,127000
Maruti Suzuki,800,2001,23,90000,Manual,second,Petrol,79000
Mercedes-Benz,S-Class,2001,23,64035,Automatic,second,Petrol,399000
Maruti Suzuki,Swift-Dzire,2001,23,62000,Automatic,second,Diesel,110000
Hyundai,Santro Xing,2001,23,44300,Manual,second,Petrol,60000
Honda,City,2001,23,42000,Manual,second,Petrol,55000
Maruti Suzuki,Esteem,2001,23,41000,Manual,second,Petrol,72000
Hyundai,Santro,2002,22,86000,Manual,second,Petrol,65000
Honda,City,2002,22,78000,Manual,second,Petrol,240000
Maruti Suzuki,800,2002,22,75000,Manual,second,Petrol,60000
Maruti Suzuki,800,2002,22,69000,Manual,first,Petrol,78000
Opel,Corsa,2002,22,64000,Manual,second,Petrol,190000
Hyundai,Santro,2002,22,50000,Manual,first,Petrol,160000
Hyundai,Santro,2002,22,20000,Manual,second,Petrol,110000
Hyundai,Verna,2002,22,16000,Manual,first,Diesel,385000
Honda,Accord,2003,21,157920,Automatic,second,Petrol,325000
Honda,Accord,2003,21,135000,Automatic,second,Petrol,185000
Maruti Suzuki,Alto,2003,21,122000,Manual,second,Hybrid/CNG,69999
Maruti Suzuki,Zen-Estilo,2003,21,120000,Manual,second,Petrol,99000
Toyota,Qualis,2003,21,100000,Manual,second,Diesel,275000
Hyundai,Santro Xing,2003,21,92000,Automatic,second,Hybrid/CNG,135000
Ambassador,Ambassador,2003,21,72000,Manual,second,Petrol,155000
Hyundai,Santro,2003,21,71000,Manual,second,Hybrid/CNG,52000
Honda,City,2003,21,69713,Manual,second,Petrol,125000
Hyundai,Santro,2003,21,67010,Manual,second,Hybrid/CNG,50000
Mercedes-Benz,C-Class,2003,21,65000,Automatic,second,Petrol,265000
Tata,Indica V2,2003,21,65000,Manual,second,Diesel,49000
Maruti Suzuki,Wagon-R,2003,21,63000,Manual,second,Hybrid/CNG,95000
Maruti Suzuki,Omni,2003,21,58000,Manual,second,Petrol,125000
Hyundai,Santro Xing,2003,21,47000,Manual,second,Petrol,75000
Honda,City,2003,21,26000,Manual,second,Petrol,230000
Maruti Suzuki,Zen-Estilo,2003,21,24200,Manual,second,Petrol,129000
Maruti Suzuki,Zen-Estilo,2003,21,21000,Manual,second,Petrol,100000
Maruti Suzuki,Wagon-R,2004,20,270000,Manual,second,Petrol,145000
Maruti Suzuki,Versa,2004,20,140000,Manual,second,Petrol,185000
Maruti Suzuki,Wagon-R,2004,20,130000,Manual,second,Petrol,169999
Mercedes-Benz,E-Class,2004,20,86000,Automatic,second,Petrol,825000
Maruti Suzuki,800,2004,20,84000,Manual,first,Petrol,75000
Honda,Accord,2004,20,83000,Automatic,second,Hybrid/CNG,135000
Toyota,Qualis,2004,20,80417,Manual,second,Diesel,349000
Ford,Ikon,2004,20,75000,Manual,second,Petrol,93000
Maruti Suzuki,800,2004,20,75000,Automatic,second,Petrol,60000
Toyota,Corolla,2004,20,72000,Automatic,second,Petrol,145000
Maruti Suzuki,Wagon-R,2004,20,71000,Manual,second,Petrol,100000
Maruti Suzuki,800,2004,20,70000,Manual,second,Petrol,50000
